Rank,Name,Position,Bye,Value
1,Josh Allen,QB,7,60
2,Patrick Mahomes,QB,8,58
3,Justin Herbert,QB,8,57
4,Jonathan Taylor,RB,14,56
5,Lamar Jackson,QB,10,55
6,Christian McCaffrey,RB,13,52
7,Kyler Murray,QB,13,50
8,Cooper Kupp,WR,7,50
9,Jalen Hurts,QB,7,49
10,Austin Ekeler,RB,8,48
11,Dak Prescott,QB,9,46
12,Justin Jefferson,WR,7,45
13,Ja'Marr Chase,WR,10,44
14,Derrick Henry,RB,6,43
15,Najee Harris,RB,9,42
16,Tom Brady,QB,11,41
17,Aaron Rodgers,QB,14,39
18,Alvin Kamara,RB,14,37
19,Dalvin Cook,RB,7,36
20,Russel Wilson,QB,9,35
21,Davante Adams,WR,6,34
22,Deebo Samuel,WR,9,34
23,Stefon Diggs,WR,7,33
24,Joe Burrow,QB,10,32
25,Matthew Stafford,QB,7,31
26,Joe Mixon,RB,10,31
27,D'Andre Swift,RB,6,30
28,CeeDee Lamb,WR,9,29
29,Tyreek Hill,WR,11,28
30,Leonard Fournette,RB,11,26
31,Mark Andrews,TE,10,26
32,Javonte Williams,RB,9,25
33,Travis Kelce,TE,8,24
34,James Conner,RB,13,23
35,Aaron Jones,RB,14,23
36,Keenan Allen,WR,8,22
37,Trey Lance,QB,9,22
38,Tee Higgins,WR,10,21
39,Mike Evans,WR,11,21
40,DJ Moore,WR,13,20
41,Cam Akers,RB,7,19
42,Saquon Barkley,RB,9,19
43,Michael Pittman Jr.,WR,14,18
44,A.J. Brown,WR,7,17
45,Terry McLaurin,WR,14,17
46,Derek Carr,QB,6,15
47,Kirk Cousins,QB,7,15
48,Nick Chubb,RB,9,14
49,Diontae Johnson,WR,9,13
50,Jaylen Waddle,WR,11,13
51,Mike Williams,WR,8,12
52,Brandin Cooks,WR,6,11
53,Kyle Pitts,TE,14,11
54,David Montgomery,RB,14,10
55,J.K. Dobbins,RB,10,10
56,Breece Hall,RB,10,10
57,Ezekiel Elliot,RB,9,10
58,Marquise Brown,WR,13,9
59,DK Metcalf,WR,11,9
60,Trevor Lawerence,QB,11,9
61,Tua Tagovailoa,QB,11,8
62,Jerry Jeudy,WR,9,8
63,Courtland Sutton,WR,9,9
64,Travis Etienne Jr.,RB,11,7
65,Amon-Ra St. Brown,WR,6,7
66,Darnell Mooney,WR,14,7
67,Gabriel Davis,WR,7,7
68,Chris Godwin,WR,11,6
69,Josh Jacobs,RB,6,6
70,Antonio Gibson,RB,14,6
71,Elijah Mitchell,RB,9,6
72,Miles Sanders,RB,7,6
73,Devin Singletary,RB,7,6
74,Darren Waller,TE,6,5
75,George Kittle,TE,9,5
76,Amari Cooper,WR,9,5
77,Michael Thomas,WR,14,5
78,Allen Robinson II,WR,7,4
79,Justin Fields,QB,14,4
80,Daniel Jones,QB,9,4
81,Carson Wentz,QB,14,4
82,Hunter Renfrow,WR,6,4
83,JuJu Smith-Schuster,WR,8,4
84,Adam Thielen,WR,7,4
85,Rashod Bateman,WR,10,4
86,Drake London,WR,14,4
87,Tyler Lockett,WR,11,3
88,DeVonta Smith,WR,7,3
89,Elijah Moore,WR,10,3
90,Kadarius Toney,WR,9,3
91,Dalton Schultz,TE,9,3
92,T.J. Hockenson,TE,6,3
93,Clyde Edwards-Helaire,RB,8,3
94,Kareem Hunt,RB,9,3
95,Rhamondre Stevenson,RB,10,3
96,Damien Harris,RB,10,2
97,Cordarrelle Patterson,RB,14,2
98,Tony Pollard,RB,9,2
99,Chase Edmonds,RB,11,2
100,AJ Dillon,RB,14,2
101,Dallas Goedert,TE,7,2
102,Zach Ertz,TE,13,2
103,Christian Kirk,WR,11,2
104,Jameis Winston,QB,14,2
105,Zach Wilson,QB,10,2
106,Ryan Tannehill,QB,6,2
107,Matt Ryan,QB,14,2
108,Allen Lazard,WR,14,2
109,Brandon Aiyuk,WR,9,2
110,Garret Wilson,WR,10,2
111,Robert Woods,WR,6,2
112,DeAndre Hopkins,WR,13,2
113,Chase Claypool,WR,9,2
114,Chris Olave,WR,14,2
115,Rashaad Penny,RB,11,2
116,James Robinson,RB,11,2
117,Mac Jones,QB,10,2
118,Jared Goff,QB,6,2
119,Baker Mayfield,QB,13,2
120,James Cook,RB,7,2
121,Ken Walker III,RB,11,1
122,Dameon Pierce,RB,6,1
123,Mike Gesicki,TE,11,1
124,Pat Freiermuth,TE,9,1
125,Jakobi Meyers,WR,10,1
126,Russell Gage,WR,11,1
127,Marquez Valdes-Scantling,WR,8,1
128,Kenny Golladay,WR,9,1
129,Skyy Moore,WR,8,1
130,Tyler Boyd,WR,10,1
131,Treylon Burks,WR,6,1
132,Michael Carter,RB,10,1
133,Melvin Gordon III,RB,9,1
134,Nyheim Hines,RB,14,1
135,J.D. McKissic,RB,14,1
136,Cole Kmet,TE,14,1
137,Hunter Henry,TE,10,1
138,Dawson Knox,TE,7,1
139,Jahan Dotson,WR,14,1
140,DJ Chark Jr.,WR,6,1
141,Jarvis Landry,WR,14,0
142,Josh Palmer,WR,8,0
143,Robbie Anderson,WR,13,0
